pk,Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
162739,qlp-s18-ffi,QLP,285666479,1569.01,PC,43.6106754,52.0710475,43.610650264,52.0710297601,10.424,0.012,1791.98363,0.00513,1.71614,0.00072,2.038,0.285,681.449,2.11556,[18],,3.28,0.09,1,4.92,0.17,14.1349,0.928386,1550.0,5511.5,96.2,958.34,13.0,False,3,4,3,3,4,4,4,2019-12-19 20:58:21+00:00,2019-12-19 20:58:21+00:00
202882,qlp-s39-tois,FAINT,311565540,3316.01,PC,260.7070358,-73.4348013,260.706965446,-73.4348853763,13.445,0.006,2385.0885298,0.0027549,4.0668012,1.85e-05,2.373,0.296,10210.0,10.7271,"[12, 13, 39]",found in faint-star QLP search,4.47,,1,0.98,,10.2315,,1129.0,5789.0,122.0,270.456,17.0,False,3,4,3,3,4,4,4,2021-06-04 14:05:41.663386+00:00,2024-08-22 15:41:09.420339+00:00
262259,qlp-s58-ffi,QLP,384984325,6109.02,PC,50.1317627,42.6070804,50.1319205905,42.6069564151,10.362,0.011,2900.8195013,0.0023521,5.6952223,0.0005344,1.107,0.462,1470.0,276.305,"[18, 58]",potential multi; variable star,4.49,0.09,2,0.95,0.06,3.92346,0.46155,700.0,5416.1,162.8,39.9451,13.0,False,2,4,1,1,4,4,4,2023-07-20 23:26:55.507728+00:00,2023-07-20 17:28:45.990000+00:00
46568,spoc-s02,SPOC,120585579,242.01,EB,4.451491,-38.110851,4.45142278774,-38.1108550503,12.452,0.018,1357.778211,0.000677,6.340315,0.000367,4.249306,0.056679,25410.703288,265.38632,[2],The detected secondary could have a wrong; depth estimation because of the low points near 1380. ,4.28983,0.0,1,1.2666,1.2666,20.517917,20.518948,1141.1166258669848,6083.0,192.0,400.7201061906631,95.53354,False,5,5,5,5,5,5,5,2018-11-29 21:52:42+00:00,2022-10-20 16:14:13.737000+00:00
188460,qlp-s30-ffi,QLP,65347776,2418.01,EB,39.7250715,-27.324162,39.7252586627,-27.3242265043,10.917,0.006,2133.37121,0.00459,25.86696,0.00025,4.923,0.694,2240.0,1231.62,"[3, 4, 30]",Only two transits; one Y1 one Y3. 25.867 days is one of at least 27 possible period aliases; retired as TFOP FP/NEB,4.56,0.08,1,0.8,0.05,7.41184,3.1277,883.0,5095.0,120.3,100.989,11.0,False,5,5,5,5,5,5,5,2020-11-25 22:47:02.060808+00:00,2024-09-17 14:35:13.410000+00:00
60617,spoc-s01-s39-b0A-PC,SPOC,281979481,274.01,EB,130.504849,-75.801512,130.505378707,-75.8018685772,10.443,0.018,2362.1572407670155,0.0020349107,0.5417947272272686,5.064377e-06,1.1716379465651348,0.07248259,537.9244901774216,58.928013,"[3, 10, 11, 12, 13, 33, 37, 38, 39]",TFOP FP; retired as NEB. Centroid offset onto another star a pixel away. V-shaped. Offset also apparent in SPOC multisector and s38. ,4.54631,0.289574,1,0.8072980046272278,0.0471181,2.873873341118768,1.4076043,1836.853757873116,5181.0,182.0,2690.4153123790443,24.296259,False,5,5,5,5,5,5,5,2018-11-30 22:06:25+00:00,2026-02-25 18:41:10+00:00
208829,qlp-s25-faintsearch,FAINT,284305328,4019.01,PC,9.1708733,65.9374947,9.17084463465,65.9374860761,12.697,0.006,2883.460104330258,0.0024420777,2.2963814,2.19e-05,2.649,0.248,7950.0,263.685,"[17, 18, 24, 25, 58]",V-shaped; found in faint-star QLP search; Gaia DR2 Rstar ~2.04 slightly larger than TIC value;  nearby TIC 284305330 (delta Tmag 3.2  separation 4.52''),4.04,,1,1.87,0.52,20.9239,6.70331,2361.0,6620.0,1539.9,5163.1,49.0,False,3,4,3,3,4,4,4,2021-06-23 15:25:57.332218+00:00,2024-08-22 15:41:09.420339+00:00
48266,qlp-s32-tois,QLP,259389219,915.01,EB,68.8038392,-51.3965537,68.8037711424,-51.3965622829,11.249,0.006,2199.8655776,0.0010627,2.3250156,5.7e-06,1.775,0.405,1130.0,19.3113,"[3, 4, 5, 30, 31, 32]",retired as TFOP FP/NEB,3.83,0.08,1,2.05,0.1,10.7275,1.12022,1882.0,5753.0,127.6,2083.06,18.0,False,5,5,5,5,5,5,5,2019-07-23 18:22:48+00:00,2024-09-08 21:02:32.513000+00:00
52264,qlp-tois-update,QLP,385624852,1041.01,EB,138.4023586,-55.1979711,138.402251573,-55.1979097039,8.097999999999999,0.006,2261.8012163340527,0.0004000633,8.30792,0.00037,3.228,0.089,8350.0,160.238,"[9, 10, 35, 36]",TFOP FP; retired as EB,3.83,0.07,1,3.05,0.09,43.1068,4.42399,1924.0,9081.0,173.2,2276.25,137.0,False,5,5,5,5,5,5,5,2019-07-24 18:44:12+00:00,2021-04-28 18:36:29.375000+00:00
206367,qlp-s39-tois,FAINT,403507814,3475.01,PC,230.9091578,-76.8957258,230.909080182,-76.8957436337,12.259,0.006,2383.8426001,0.0006338,2.7812908,3.6e-06,3.208,0.125,11930.0,2.09485,"[12, 39]",found in faint-star QLP search,4.26,0.08,1,1.63,0.06,18.2165,0.770351,1998.0,7560.0,140.3,2647.01,78.0,False,3,4,3,3,4,4,4,2021-06-16 23:32:20.726647+00:00,2024-08-22 15:41:09.420339+00:00
235599,qlp-s60-ffi,QLP,172033454,6065.01,PC,97.6191592,31.8807366,97.6192236909,31.8805560625,9.453,0.006,2948.6913203,0.0090109,8.2065998,0.0002007,3.785,1.905,417.0,825.21,"[20, 43, 44, 45, 60]",slight depth-aperture correlation; possible centroid offset towards bright star to ESE; potential L1 candidate based off Rp uncertainty ,4.21,0.08,1,1.38,0.07,4.6173,2.06349,2135.0,6061.0,136.5,3451.52,10.0,False,3,4,3,3,4,4,4,2023-02-23 20:49:47.053448+00:00,2023-02-23 15:32:16.706000+00:00
